=== Application started at 2026-06-08 11:19:54.211434 ===
[2026-06-08 11:20:10] [INFO] IMAGE_UPLOAD | name='1-BSE-1k-T1.bmp', size=0x0, file_size=4.69MB
[2026-06-08 11:20:10] [DEBUG] SCALE_DETECTION | image='1-BSE-1k-T1.bmp', attempting auto-detection...
[2026-06-08 11:20:15] [INFO] SCALE_DETECTION | image='1-BSE-1k-T1.bmp', scale=0.0496031746031746, detected_text='50.0pm'
[2026-06-08 11:20:17] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:17] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:17] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:17] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:20:17] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:20:17] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:20:17] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:20:17] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', error=''charmap' codec can't encode character '\U0001f9a0' in position 91: character maps to <undefined>', model='Bacillus'
[2026-06-08 11:20:17] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:17] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:20:19] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:19] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:19] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:19] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:20:19] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:20:19] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:20:19] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:20:19] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', error=''charmap' codec can't encode character '\U0001f9a0' in position 91: character maps to <undefined>', model='Bacillus'
[2026-06-08 11:20:19] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:19] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:20:19] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:19] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:19] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:19] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
[2026-06-08 11:20:20] [DEBUG] MEMORY_CLEANUP | Garbage collection completed
[2026-06-08 11:20:20] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag set to True
[2026-06-08 11:20:20] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', checking model configuration...
[2026-06-08 11:20:20] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', error=''charmap' codec can't encode character '\U0001f9a0' in position 91: character maps to <undefined>', model='Bacillus'
[2026-06-08 11:20:20] [ERROR] SEGMENTATION_ERROR | image='1-BSE-1k-T1.bmp', failed after 0.00 seconds
[2026-06-08 11:20:20] [DEBUG] SEGMENTATION | image='1-BSE-1k-T1.bmp', segmentation_in_progress flag reset to False due to error
[2026-06-08 11:20:20] [INFO] SEGMENTATION_START | image='1-BSE-1k-T1.bmp', model='Bacillus', scale=0.0496031746031746
[2026-06-08 11:20:20] [DEBUG] MEMORY_CLEANUP | image='1-BSE-1k-T1.bmp', starting memory cleanup
[2026-06-08 11:20:20] [DEBUG] MEMORY_CLEANUP | Streamlit cache cleared
[2026-06-08 11:20:20] [DEBUG] MEMORY_CLEANUP | CUDA not available, using CPU
